RBD,ESTABLECIMIENTO,COMUNA,AREA,PRUEBA,NIVEL,PUNTAJE
6415,ESCUELA LOS TRONCOS,TEODORO SCHMIDT,RURAL,MATEMÁTICAS,2B,0
6454,ESCUELA BASICA COLLICO RANCO,SAAVEDRA,RURAL,LENGUAJE,2B,589
6454,ESCUELA BASICA COLLICO RANCO,SAAVEDRA,RURAL,LENGUAJE,3B,599
6454,ESCUELA BASICA COLLICO RANCO,SAAVEDRA,RURAL,LENGUAJE,1B,620
6454,ESCUELA BASICA COLLICO RANCO,SAAVEDRA,RURAL,MATEMÁTICAS,1B,597
6454,ESCUELA BASICA COLLICO RANCO,SAAVEDRA,RURAL,MATEMÁTICAS,2B,610
6454,ESCUELA BASICA COLLICO RANCO,SAAVEDRA,RURAL,MATEMÁTICAS,3B,615
6455,ESCUELA BASICA BARTOLO LLANCALEO,SAAVEDRA,RURAL,LENGUAJE,1B,525
6455,ESCUELA BASICA BARTOLO LLANCALEO,SAAVEDRA,RURAL,LENGUAJE,3B,539
6455,ESCUELA BASICA BARTOLO LLANCALEO,SAAVEDRA,RURAL,LENGUAJE,2B,544
6455,ESCUELA BASICA BARTOLO LLANCALEO,SAAVEDRA,RURAL,MATEMÁTICAS,1B,530
6455,ESCUELA BASICA BARTOLO LLANCALEO,SAAVEDRA,RURAL,MATEMÁTICAS,3B,566
6455,ESCUELA BASICA BARTOLO LLANCALEO,SAAVEDRA,RURAL,MATEMÁTICAS,2B,579
6456,ESCCUELA BASICA INALAFQUEN,SAAVEDRA,RURAL,LENGUAJE,2B,416
6456,ESCCUELA BASICA INALAFQUEN,SAAVEDRA,RURAL,LENGUAJE,1B,463
6456,ESCCUELA BASICA INALAFQUEN,SAAVEDRA,RURAL,LENGUAJE,3B,507
6456,ESCCUELA BASICA INALAFQUEN,SAAVEDRA,RURAL,MATEMÁTICAS,1B,521
6456,ESCCUELA BASICA INALAFQUEN,SAAVEDRA,RURAL,MATEMÁTICAS,3B,577
6456,ESCCUELA BASICA INALAFQUEN,SAAVEDRA,RURAL,MATEMÁTICAS,2B,590
6457,ESC. BASICA AUGUSTO WINTER TAPIA,SAAVEDRA,URBANO,LENGUAJE,1B,574
6457,ESC. BASICA AUGUSTO WINTER TAPIA,SAAVEDRA,URBANO,LENGUAJE,2B,575
6457,ESC. BASICA AUGUSTO WINTER TAPIA,SAAVEDRA,URBANO,LENGUAJE,3B,581
6457,ESC. BASICA AUGUSTO WINTER TAPIA,SAAVEDRA,URBANO,MATEMÁTICAS,2B,559
6457,ESC. BASICA AUGUSTO WINTER TAPIA,SAAVEDRA,URBANO,MATEMÁTICAS,1B,561
6457,ESC. BASICA AUGUSTO WINTER TAPIA,SAAVEDRA,URBANO,MATEMÁTICAS,3B,588
6458,ESCUELA BASICA CALOF,SAAVEDRA,RURAL,LENGUAJE,1B,462
6458,ESCUELA BASICA CALOF,SAAVEDRA,RURAL,LENGUAJE,3B,465
6458,ESCUELA BASICA CALOF,SAAVEDRA,RURAL,LENGUAJE,2B,573
6458,ESCUELA BASICA CALOF,SAAVEDRA,RURAL,MATEMÁTICAS,1B,465
6458,ESCUELA BASICA CALOF,SAAVEDRA,RURAL,MATEMÁTICAS,3B,527
6458,ESCUELA BASICA CALOF,SAAVEDRA,RURAL,MATEMÁTICAS,2B,568
6459,ESC. BASICA ANTONIO LADINO,SAAVEDRA,RURAL,LENGUAJE,2B,581
6459,ESC. BASICA ANTONIO LADINO,SAAVEDRA,RURAL,LENGUAJE,3B,593
6459,ESC. BASICA ANTONIO LADINO,SAAVEDRA,RURAL,LENGUAJE,1B,609
6459,ESC. BASICA ANTONIO LADINO,SAAVEDRA,RURAL,MATEMÁTICAS,1B,588
6459,ESC. BASICA ANTONIO LADINO,SAAVEDRA,RURAL,MATEMÁTICAS,2B,608
6459,ESC. BASICA ANTONIO LADINO,SAAVEDRA,RURAL,MATEMÁTICAS,3B,610
6495,ESCUELA RUCA RAQUI,SAAVEDRA,RURAL,LENGUAJE,2B,569
6495,ESCUELA RUCA RAQUI,SAAVEDRA,RURAL,LENGUAJE,3B,605
6495,ESCUELA RUCA RAQUI,SAAVEDRA,RURAL,LENGUAJE,1B,607
6495,ESCUELA RUCA RAQUI,SAAVEDRA,RURAL,MATEMÁTICAS,1B,580
6495,ESCUELA RUCA RAQUI,SAAVEDRA,RURAL,MATEMÁTICAS,2B,591
6495,ESCUELA RUCA RAQUI,SAAVEDRA,RURAL,MATEMÁTICAS,3B,615
6499,ROMILIO ADRIAZOLA,CARAHUE,URBANO,LENGUAJE,3B,589
6499,ROMILIO ADRIAZOLA,CARAHUE,URBANO,LENGUAJE,2B,603
6499,ROMILIO ADRIAZOLA,CARAHUE,URBANO,LENGUAJE,1B,608
6499,ROMILIO ADRIAZOLA,CARAHUE,URBANO,MATEMÁTICAS,3B,589
6499,ROMILIO ADRIAZOLA,CARAHUE,URBANO,MATEMÁTICAS,1B,604
6499,ROMILIO ADRIAZOLA,CARAHUE,URBANO,MATEMÁTICAS,2B,611
6500,ESCUELA DARIO SALAS DIAZ,CARAHUE,URBANO,LENGUAJE,3B,582
6500,ESCUELA DARIO SALAS DIAZ,CARAHUE,URBANO,LENGUAJE,2B,585
6500,ESCUELA DARIO SALAS DIAZ,CARAHUE,URBANO,LENGUAJE,1B,621
6500,ESCUELA DARIO SALAS DIAZ,CARAHUE,URBANO,MATEMÁTICAS,3B,585
6500,ESCUELA DARIO SALAS DIAZ,CARAHUE,URBANO,MATEMÁTICAS,1B,607
6500,ESCUELA DARIO SALAS DIAZ,CARAHUE,URBANO,MATEMÁTICAS,2B,608
6501,ESCUELA BASICA KIM RUKA,CARAHUE,URBANO,LENGUAJE,1B,603
6501,ESCUELA BASICA KIM RUKA,CARAHUE,URBANO,LENGUAJE,3B,604
6501,ESCUELA BASICA KIM RUKA,CARAHUE,URBANO,LENGUAJE,2B,611
6501,ESCUELA BASICA KIM RUKA,CARAHUE,URBANO,MATEMÁTICAS,1B,596
6501,ESCUELA BASICA KIM RUKA,CARAHUE,URBANO,MATEMÁTICAS,2B,607
6501,ESCUELA BASICA KIM RUKA,CARAHUE,URBANO,MATEMÁTICAS,3B,617
6502,ESCUELA BASICA NEHUENTUE,CARAHUE,URBANO,LENGUAJE,3B,572
6502,ESCUELA BASICA NEHUENTUE,CARAHUE,URBANO,LENGUAJE,1B,590
6502,ESCUELA BASICA NEHUENTUE,CARAHUE,URBANO,LENGUAJE,2B,601
6502,ESCUELA BASICA NEHUENTUE,CARAHUE,URBANO,MATEMÁTICAS,1B,585
